time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
574,1,0,0,0,0,0.394745,471,0,0,0,0,0,0,0,1619,0,0,317,0,0,3,0,0,0.185202,910,0.0233979,910,0.0058526,910,0.155871,910,0,0,0.0001184,910,0.0010294,58,0.0006155,113,0.0026145,910,0.0003674,910,0.0011339,910,0,0,6.61e-05,3,0.0005479,910,0.008966,910,0.0088948,910,0.0003631,910,0.0001332,910,0.0238654,910,0,0,0.0203691,910,0.0029081,910,89639,910
674,1,374,112.2,22.44,2.244,0.300087,0,0,0,0,0,0,0,0,2067,0,0,317,0,0,0,0,0,0.219368,1110,0.0242912,1110,0.0070252,1110,0.187958,1110,0,0,0.0001388,1105,0.0022681,73,0.000738,137,0.0031901,1105,0.0004404,1105,0.0013555,1105,0,0,6.61e-05,3,0.0006701,1105,0.009397,1105,0.0108063,1105,0.0004439,1105,0.0002637,1105,0.0296109,1105,0,0,0.0252839,1105,0.0035945,1105,111719,1105
774,1,44,91.74,36.3,5.6496,0.371078,0,0,0,0,0,0,0,0,2067,0,0,317,0,0,2,0,0,0.256237,1310,0.0244286,1310,0.008177,1310,0.223525,1310,0,0,0.000157,1292,0.0038442,89,0.0017555,162,0.0037304,1292,0.0005088,1292,0.0015638,1291,9.37e-05,2,6.61e-05,3,0.0007826,1290,0.0097397,1292,0.0126237,1292,0.0005185,1292,0.0005156,1292,0.0392231,1292,0,0,0.0340911,1292,0.0042043,1291,156089,1292
874,1,23,71.118,43.2636,9.411,0.351868,0,0,0,0,0,0,0,0,2067,0,0,317,0,0,0,0,0,0.292219,1510,0.0245682,1510,0.0093275,1510,0.258203,1510,0,0,0.0001757,1489,0.0043023,102,0.0018737,186,0.0043213,1489,0.0005853,1489,0.0017867,1488,9.37e-05,2,6.61e-05,3,0.0009063,1487,0.0098664,1489,0.014549,1489,0.0005908,1489,0.000534,1489,0.0487385,1489,0,0,0.0427655,1489,0.0048615,1488,197262,1489
974,1,34,59.9826,46.6074,13.1306,0.35318,0,0,0,0,0,0,0,0,2067,0,0,317,0,0,0,0,0,0.329892,1710,0.0247224,1710,0.0105744,1710,0.294459,1710,0,0,0.0002001,1689,0.0047274,114,0.0020123,211,0.004926,1689,0.000661,1689,0.0020271,1688,9.37e-05,2,6.61e-05,3,0.0010312,1687,0.0100105,1689,0.0166052,1689,0.000674,1689,0.0005551,1689,0.0587212,1689,0,0,0.0518494,1689,0.0055627,1688,239062,1689
1074,1,23,48.8878,47.0635,16.5239,0.41478,0,0,0,0,0,0,0,0,2067,0,0,317,0,0,0,0,0,0.371466,1910,0.0249142,1910,0.0120372,1910,0.334357,1910,0,0,0.0002232,1889,0.0051919,127,0.0021553,236,0.0056496,1889,0.0007508,1889,0.0023126,1888,9.37e-05,2,6.61e-05,3,0.0011872,1887,0.0101655,1889,0.018904,1889,0.0007561,1889,0.0005763,1889,0.0695112,1889,0,0,0.0616344,1889,0.0063616,1888,280862,1889
1174,1,18,39.6215,45.5751,19.429,0.478882,0,0,0,0,0,0,0,0,2067,0,0,317,0,0,0,0,0,0.418553,2110,0.0250947,2110,0.0133149,2110,0.379973,2110,0,0,0.0002434,2089,0.0074331,144,0.0022945,261,0.0063304,2089,0.0008406,2089,0.0026164,2088,9.37e-05,2,6.61e-05,3,0.0013377,2087,0.0106083,2089,0.0210715,2089,0.0008412,2089,0.0007131,2089,0.0841854,2089,0,0,0.0752561,2089,0.0071383,2088,348730,2089
1274,1,23,34.635,43.3871,21.8248,0.521622,0,0,0,0,0,0,0,0,2067,0,0,317,0,0,0,0,0,0.466122,2310,0.0252739,2310,0.0146371,2310,0.426027,2310,0,0,0.0002655,2289,0.0089647,163,0.0024404,286,0.007023,2289,0.0009285,2289,0.0029044,2288,9.37e-05,2,6.61e-05,3,0.0014845,2287,0.0108572,2289,0.0232169,2289,0.0009265,2289,0.0007337,2289,0.10066,2289,0,0,0.0906611,2289,0.0078795,2288,429730,2289
1374,1,6,26.0445,39.9186,23.6342,0.414551,0,0,0,0,0,0,0,0,2067,0,0,317,0,0,0,0,0,0.510867,2510,0.0254412,2510,0.0158265,2510,0.469397,2510,0,0,0.0002854,2489,0.0097523,176,0.0025619,311,0.007651,2489,0.0010119,2489,0.0031851,2488,9.37e-05,2,6.61e-05,3,0.0016169,2487,0.011017,2489,0.0252561,2489,0.0010064,2489,0.0007531,2489,0.117106,2489,0,0,0.106092,2489,0.0085741,2488,510730,2489
1474,1,0,18.2312,35.5811,24.8289,0.371089,0,0,0,0,0,0,0,0,2067,0,0,317,0,0,0,0,0,0.548385,2710,0.0255968,2710,0.0169563,2710,0.505614,2710,0,0,0.0003037,2689,0.0103704,191,0.0026593,336,0.0082143,2689,0.0010951,2689,0.0034685,2688,9.37e-05,2,6.61e-05,3,0.0017445,2687,0.0112045,2689,0.0271566,2689,0.0011088,2689,0.000786,2689,0.127718,2689,0,0,0.115833,2689,0.0092317,2688,556570,2689
