time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
577.5,1,0,0,0,0,0.439545,471,0,0,0,0,0,0,0,1592,0,0,317,0,0,3,0,0,0.182282,897,0.021833,897,0.0056577,897,0.154721,897,0,0,9.6e-05,897,0.0010014,59,0.0005545,112,0.0024169,897,0.0003386,897,0.0010912,897,0,0,7.28e-05,3,0.0005526,897,0.0091865,897,0.0086403,897,0.0003325,897,9.29e-05,897,0.0281267,897,0,0,0.0247653,897,0.0027823,897,88378,897
677.5,1,382,114.6,22.92,2.292,0.583145,0,0,0,0,0,0,0,0,1871,0,0,317,0,0,0,0,0,0.219048,1097,0.0228533,1097,0.0070177,1097,0.189091,1097,0,0,0.0001176,1097,0.0026655,74,0.0006741,137,0.0030155,1097,0.0004117,1097,0.0013154,1097,0,0,7.28e-05,3,0.0006773,1097,0.0096272,1097,0.0106162,1097,0.0004108,1097,0.0001825,1097,0.0350187,1097,0,0,0.0308379,1097,0.0034562,1097,108577,1097
777.5,1,20,86.22,35.58,5.6208,0.42009,0,0,0,0,0,0,0,0,1871,0,0,317,0,0,0,0,0,0.260153,1297,0.0229913,1297,0.0081355,1297,0.228924,1297,0,0,0.0001384,1295,0.0034697,90,0.000798,162,0.0035848,1295,0.0004811,1295,0.0015284,1295,0,0,7.28e-05,3,0.0007955,1295,0.00986,1295,0.0125439,1295,0.0004802,1295,0.0002536,1295,0.0486757,1295,0,0,0.043577,1295,0.0041157,1295,166195,1295
877.5,1,33,70.254,42.5148,9.3102,0.413254,0,0,0,0,0,0,0,0,1871,0,0,317,0,0,0,0,0,0.302701,1497,0.0231323,1497,0.0096614,1497,0.26979,1497,0,0,0.0001591,1495,0.0056003,108,0.0009168,187,0.0042024,1495,0.0005533,1495,0.0017505,1495,0,0,7.28e-05,3,0.0009191,1495,0.010275,1495,0.0145539,1495,0.0005642,1495,0.000426,1495,0.061874,1495,0,0,0.0558066,1495,0.0048093,1495,219395,1495
977.5,1,52,64.7778,46.9674,13.0759,0.369003,0,0,0,0,0,0,0,0,1871,0,0,317,0,0,0,0,0,0.339757,1697,0.0232895,1697,0.0109296,1697,0.305401,1697,0,0,0.0001827,1695,0.0062012,124,0.0010501,212,0.0048182,1695,0.0006285,1695,0.001977,1695,0,0,7.28e-05,3,0.0010491,1695,0.0104966,1695,0.0166342,1695,0.0006443,1695,0.0004549,1695,0.0710738,1695,0,0,0.0640872,1695,0.0055247,1695,255341,1695
1077.5,1,9,48.0445,47.1828,16.4866,1.53503,2,0,0,0,0,0,0,0,1910,0,0,317,0,0,0,0,0,0.470791,1897,0.0235862,1897,0.0123115,1897,0.434741,1897,0,0,0.0002105,1894,0.0084769,153,0.0012535,237,0.0054087,1894,0.0007144,1894,0.0023118,1894,0.0159231,7,7.28e-05,3,0.0011664,1870,0.0246526,1894,0.0192648,1894,0.0013025,1894,0.0014024,1894,0.135998,1894,0,0,0.0844336,1894,0.0495218,1894,436726,1894
1177.5,1,26,41.4311,46.0325,19.4412,0.962494,4,0,0,0,0,0,0.000659943,0,1288,10,0,317,0,0,0,0,0,0.586556,2097,0.0242007,2097,0.0136387,2097,0.548498,2097,0,0,0.0002399,2094,0.010136,194,0.0014688,262,0.0060051,2094,0.0008042,2094,0.002647,2094,0.0206735,11,7.28e-05,3,0.0012879,2060,0.0313417,2094,0.0215698,2094,0.0015282,2094,0.0014446,2094,0.207358,2094,0,0,0.107592,2094,0.0971181,2094,631549,2094
1277.5,1,32,38.6018,44.5463,21.9517,0.849442,3,0,0,0,0,0,0.000659943,0,1229,10,0,317,0,0,0,0,0,0.663381,2297,0.0247393,2297,0.0149447,2297,0.623464,2297,0,0,0.000502,2294,0.0134897,221,0.0020598,287,0.0068413,2294,0.0008921,2294,0.0029671,2294,0.0232287,13,0.0004707,5,0.0014261,2257,0.0349904,2294,0.023985,2294,0.0016211,2294,0.0022476,2294,0.242215,2294,0,0,0.125733,2294,0.113404,2294,730950,2294
1377.5,1,34,37.2212,43.0813,24.0647,0.759506,3,0,0,0,0,0,0.000659943,0,1242,10,0,317,0,0,0,0,0,0.74387,2497,0.0251498,2497,0.0161188,2497,0.702298,2497,0,0,0.0005366,2494,0.0162904,268,0.0022535,312,0.0075533,2494,0.0009849,2494,0.0033424,2494,0.0253558,15,0.0021967,20,0.0015539,2453,0.0381916,2494,0.0261491,2494,0.0017318,2494,0.0026726,2494,0.281636,2494,0,0,0.142791,2494,0.135299,2494,854844,2494
1477.5,1,9,28.7549,40.216,25.6798,0.44635,3,17.9556,1.49397,0.457916,0.00521439,0.00464148,10.7098,0,114,33,0,317,0,0,0,0,0,0.799642,2697,0.0259139,2697,0.0172068,2697,0.756204,2697,0,0,0.0005706,2694,0.0172591,288,0.0023832,337,0.0081875,2694,0.0010705,2694,0.0037076,2694,0.0258124,16,0.0039666,31,0.0016755,2651,0.0394173,2694,0.0282073,2694,0.0018136,2694,0.0030492,2694,0.304778,2694,0,0,0.157127,2694,0.143763,2694,930269,2694
1577.5,1,1,20.4284,36.2585,26.7377,0.807837,3,17.3517,1.83389,0.272382,0.00600235,0.00535006,10.2769,0,129,15,0,317,0,0,0,0,0,0.868714,2897,0.0267867,2897,0.0183599,2897,0.823234,2897,0,0,0.0005921,2894,0.0212202,310,0.0025082,362,0.0087626,2894,0.0011497,2894,0.0040193,2894,0.0313276,17,0.0057356,34,0.0017933,2850,0.0416651,2894,0.0301912,2894,0.0019463,2894,0.0033978,2894,0.332999,2894,0,0,0.177678,2894,0.150995,2894,1026438,2894
1677.5,1,0,14.2999,31.8668,27.2506,1.5395,3,10.6645,1.01437,0.187646,0.00502162,0.00407255,9.34941,0,82,12,0,317,28,0,0,0,0,0.974992,3097,0.0276401,3097,0.0194665,3097,0.927526,3097,0,0,0.0006149,3094,0.0229372,334,0.0027077,387,0.0093147,3094,0.0012309,3094,0.0043525,3094,0.0360492,20,0.0076054,47,0.0019109,3047,0.0482539,3094,0.0327032,3094,0.0028682,3094,0.0034243,3094,0.394309,3094,0,0,0.204312,3094,0.184912,3094,1205917,3094
