time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
569,1,0,0,0,0,0.389496,471,0,0,0,0,0,0,0,1619,0,0,317,0,0,4,0,0,0.159676,815,0.0197979,815,0.0041629,815,0.135659,815,0,0,8.99e-05,815,0.0008704,54,0.0004862,102,0.002115,815,0.0002997,815,0.0009922,815,0,0,6.68e-05,3,0.0005426,815,0.0080469,815,0.0072173,815,0.0002935,815,8.16e-05,815,0.0204022,815,0,0,0.0176248,815,0.0023089,815,80424,815
669,1,11,3.3,0.66,0.066,0.312012,0,0,0,0,0,0,0,0,2661,0,0,317,0,0,0,0,0,0.192404,1015,0.0207851,1015,0.0052363,1015,0.166313,1015,0,0,0.0001096,1015,0.0011061,68,0.0006066,127,0.0026991,1015,0.0003692,1015,0.0012076,1015,0,0,6.68e-05,3,0.0006877,1015,0.0082877,1015,0.0090082,1015,0.0003649,1015,9.88e-05,1015,0.0255463,1015,0,0,0.0220256,1015,0.0029329,1015,99451,1015
769,1,16,7.11,1.95,0.2544,0.325539,0,0,0,0,0,0,0,0,2661,0,0,317,0,0,0,0,0,0.224498,1215,0.020915,1215,0.006294,1215,0.197204,1215,0,0,0.0001309,1215,0.0012894,80,0.0007356,152,0.0032862,1215,0.0004385,1215,0.0014229,1215,0,0,6.68e-05,3,0.0008387,1215,0.0084214,1215,0.0109104,1215,0.000434,1215,0.0001149,1215,0.0307474,1215,0,0,0.026469,1215,0.0035635,1215,118451,1215
869,1,383,119.877,25.5354,2.7825,0.447464,0,0,0,0,0,0,0,0,2661,0,0,317,0,0,0,0,0,0.265465,1415,0.0210469,1415,0.0073973,1415,0.236923,1415,0,0,0.0001521,1415,0.0041541,96,0.0008552,177,0.0039146,1415,0.0005085,1415,0.0016462,1415,0,0,6.68e-05,3,0.0009838,1415,0.0089243,1415,0.0127991,1415,0.0005005,1415,0.0003862,1415,0.0412346,1415,0,0,0.0360888,1415,0.0042053,1415,171359,1415
969,1,17,89.0139,38.2311,6.32736,0.425827,0,0,0,0,0,0,0,0,2661,0,0,317,0,0,0,0,0,0.310965,1615,0.0211804,1615,0.0084953,1615,0.281176,1615,0,0,0.0001741,1615,0.005613,114,0.0009826,202,0.0045198,1615,0.0005819,1615,0.0018678,1615,0,0,6.68e-05,3,0.0011317,1615,0.0092052,1615,0.0146746,1615,0.0005729,1615,0.0004054,1615,0.0580216,1615,0,0,0.0518599,1615,0.0048575,1615,268759,1615
1069,1,17,67.4097,44.0668,10.1013,0.466888,0,0,0,0,0,0,0,0,2661,0,0,317,0,0,0,0,0,0.358095,1815,0.0213336,1815,0.0096997,1815,0.326935,1815,0,0,0.0002019,1815,0.0064283,127,0.0011206,227,0.0051641,1815,0.0006594,1815,0.002115,1815,0,0,6.68e-05,3,0.0012795,1815,0.0093539,1815,0.0167439,1815,0.0006575,1815,0.0004243,1815,0.0757363,1815,0,0,0.0685001,1815,0.0055622,1815,366159,1815
1169,1,13,51.0868,45.4708,13.6383,0.457878,0,0,0,0,0,0,0,0,2661,0,0,317,0,0,0,0,0,0.405591,2015,0.0214968,2015,0.0109763,2015,0.372977,2015,0,0,0.0002327,2015,0.0075086,142,0.00125,252,0.0058065,2015,0.00074,2015,0.0023674,2015,0,0,6.68e-05,3,0.0014265,2015,0.0095785,2015,0.0187545,2015,0.0007332,2015,0.0004419,2015,0.0932566,2015,0,0,0.084954,2015,0.0062654,2015,463559,2015
1269,1,9,38.4608,44.0688,16.6813,0.466326,0,0,0,0,0,0,0,0,2661,0,0,317,0,0,0,0,0,0.453713,2215,0.0216639,2215,0.0121879,2215,0.419707,2215,0,0,0.0002622,2215,0.0083629,156,0.0013784,277,0.0064754,2215,0.0008199,2215,0.0026288,2215,0,0,6.68e-05,3,0.001582,2215,0.0097542,2215,0.020803,2215,0.0008106,2215,0.0004601,2215,0.111308,2215,0,0,0.10193,2215,0.0069762,2215,560959,2215
1369,1,2,27.5225,40.7596,19.0891,0.469476,0,0,0,0,0,0,0,0,2661,0,0,317,0,0,0,0,0,0.49922,2415,0.0218284,2415,0.0132625,2415,0.46396,2415,0,0,0.0002942,2415,0.0094615,172,0.0014841,302,0.0070602,2415,0.0009047,2415,0.0029086,2415,0,0,6.68e-05,3,0.0017356,2415,0.0099828,2415,0.0227193,2415,0.0008936,2415,0.0004812,2415,0.129023,2415,0,0,0.118553,2415,0.007673,2415,658359,2415
1469,1,2,19.8658,36.5808,20.8383,0.425439,0,0,0,0,0,0,0,0,2661,0,0,317,0,0,0,0,0,0.544531,2615,0.0219887,2615,0.0143497,2615,0.508009,2615,0,0,0.0003262,2615,0.0108625,191,0.0015896,327,0.007623,2615,0.0009862,2615,0.0031878,2615,0,0,6.68e-05,3,0.0018844,2615,0.0102394,2615,0.0245908,2615,0.0009855,2615,0.000501,2615,0.146553,2615,0,0,0.135006,2615,0.0083546,2615,755759,2615
