time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
632.5,1,0,0,0,0,0.430908,471,0,0,0,0,0,0,0,1619,0,0,317,0,0,4,0,0,0.21747,864,0.0231557,864,0.0054097,864,0.188848,864,0,0,0.0001256,864,0.002395,63,0.0006308,108,0.0026921,864,0.0003583,864,0.0011916,864,0,0,8e-05,3,0.0006304,864,0.0098937,864,0.0091512,864,0.000361,864,0.0001023,864,0.0442296,864,0,0,0.0407894,864,0.0026731,864,187129,864
732,1,363.317,108.995,21.799,2.1799,0.859077,0,0,0,0,0,0,0,0,1815,0,0,317,0,0,0,0,0,0.279588,1063,0.0242853,1063,0.0066469,1063,0.248586,1063,0,0,0.0001579,1063,0.0119988,82,0.000762,133,0.0033592,1063,0.0004417,1063,0.0014443,1063,0,0,8e-05,3,0.0007847,1063,0.0115128,1063,0.0114345,1063,0.0004482,1063,0.0028913,1063,0.0613668,1063,0,0,0.0569132,1063,0.0033593,1063,265979,1063
832,1,30,85.2965,34.4985,5.41176,0.825821,0,0,0,0,0,0,0,0,1815,0,0,317,0,0,0,0,0,0.363875,1263,0.0244434,1263,0.0078143,1263,0.331536,1263,0,0,0.0001838,1263,0.0180159,108,0.0008904,158,0.0040365,1263,0.0005188,1263,0.0016967,1263,0,0,8e-05,3,0.0009409,1263,0.012807,1263,0.0136475,1263,0.0005247,1263,0.0031058,1263,0.107057,1263,0,0,0.101168,1263,0.0040236,1263,495821,1263
932,1,43,72.6075,42.1203,9.08261,0.968964,0,0,0,0,0,0,0,0,1815,0,0,317,0,0,0,0,0,0.447379,1463,0.0246097,1463,0.0091431,1463,0.41353,1463,0,0,0.000213,1463,0.0207153,122,0.0010427,183,0.0047336,1463,0.0005991,1463,0.0019482,1463,0,0,8e-05,3,0.0010983,1463,0.0130837,1463,0.0160904,1463,0.0006024,1463,0.0031267,1463,0.155496,1463,0,0,0.14803,1463,0.0047578,1463,733621,1463
1032,1,19,56.5253,45.0013,12.6745,0.854034,0,0,0,0,0,0,0,0,1815,0,0,317,0,0,0,0,0,0.532022,1663,0.0247723,1663,0.0104373,1663,0.496703,1663,0,0,0.0002416,1663,0.0232124,135,0.0011912,208,0.0054296,1663,0.0006759,1663,0.0021909,1663,0,0,8e-05,3,0.0012548,1663,0.0133079,1663,0.0185572,1663,0.0006839,1663,0.0031504,1663,0.205552,1663,0,0,0.196468,1663,0.0054921,1663,971421,1663
1132,1,19,45.2677,45.0546,15.9125,0.848152,0,0,0,0,0,0,0,0,1815,0,0,317,0,0,0,0,0,0.613687,1863,0.0249427,1863,0.0116525,1863,0.576966,1863,0,0,0.0002781,1863,0.0259994,150,0.0013483,233,0.0061478,1863,0.0007589,1863,0.0024497,1863,0,0,8e-05,3,0.0014156,1863,0.0136162,1863,0.0209092,1863,0.000766,1863,0.003175,1863,0.253334,1863,0,0,0.242682,1863,0.0062057,1863,1209221,1863
1232,1,14,35.8874,43.2211,18.6434,0.794044,0,0,0,0,0,0,0,0,1815,0,0,317,0,0,0,0,0,0.700331,2063,0.0251285,2063,0.0129747,2063,0.662089,2063,0,0,0.0003153,2063,0.0280969,163,0.0014967,258,0.0068833,2063,0.0008497,2063,0.0027368,2063,0,0,8e-05,3,0.0015854,2063,0.0138543,2063,0.0234311,2063,0.0008552,2063,0.0031942,2063,0.304399,2063,0,0,0.292152,2063,0.0069576,2063,1447021,2063
1332,1,17,30.2212,40.6212,20.8411,0.859856,0,0,0,0,0,0,0,0,1815,0,0,317,0,0,0,0,0,0.787822,2263,0.0253387,2263,0.0143469,2263,0.747969,2263,0,0,0.0003547,2263,0.030869,178,0.0016505,283,0.0076258,2263,0.0009448,2263,0.0030272,2263,0,0,8e-05,3,0.0017561,2263,0.0141069,2263,0.0260009,2263,0.000943,2263,0.0032308,2263,0.355306,2263,0,0,0.341435,2263,0.0077217,2263,1681781,2263
1432,1,3,22.0548,36.9079,22.4478,0.722145,0,0,0,0,0,0,0,0,1815,0,0,317,0,0,0,0,0,0.865302,2463,0.0255406,2463,0.0155746,2463,0.824005,2463,0,0,0.0003998,2463,0.0327161,191,0.0017795,308,0.0083558,2463,0.0010399,2463,0.0033754,2463,0,0,8e-05,3,0.001922,2463,0.0143189,2463,0.0284404,2463,0.0010317,2463,0.0032542,2463,0.398363,2463,0,0,0.382958,2463,0.0084561,2463,1880387,2463
1532,1,5,16.9384,32.914,23.4944,0.750093,277,18.7824,0.666037,0.468258,0.00465843,0.00398653,10.9626,0,134,22,0,317,0,0,0,0,0,0.945276,2663,0.0265372,2663,0.0167025,2663,0.901836,2663,0,0,0.0004326,2663,0.035028,206,0.0019205,333,0.0090947,2663,0.0011288,2663,0.0036835,2663,0.0051234,1,8e-05,3,0.0020549,2661,0.0166496,2663,0.0306107,2663,0.0011134,2663,0.0035626,2663,0.438195,2663,0,0,0.416825,2663,0.013764,2663,2062566,2663
1632,1,0,11.8569,28.7026,24.0152,0.904701,3,14.132,1.24554,0.231947,0.00520398,0.0039661,9.02768,0,94,15,0,317,0,0,0,0,0,1.03475,2863,0.0275493,2863,0.0178773,2863,0.989105,2863,0,0,0.0005253,2863,0.0402998,271,0.0021029,358,0.0098195,2863,0.0012408,2863,0.0040509,2863,0.0051234,1,8e-05,3,0.0021698,2827,0.0210696,2863,0.0327725,2863,0.001197,2863,0.0038817,2863,0.481902,2863,0,0,0.436066,2863,0.0378814,2863,2183590,2863
1732,1,0,8.2998,24.622,24.0759,0.833237,3,11.5376,1.11431,0.200071,0.0044811,0.00364831,9.54841,0,125,14,0,317,0,0,0,0,0,1.12974,3063,0.0284858,3063,0.0189973,3063,1.08202,3063,0,0,0.0005616,3063,0.0466857,335,0.0023977,383,0.0104535,3063,0.001346,3063,0.0044168,3063,0.0094036,6,0.0005618,7,0.0023016,3022,0.0249134,3063,0.0348849,3063,0.0012793,3063,0.0048051,3063,0.526509,3063,0,0,0.455592,3063,0.0625968,3063,2311922,3063
1832,1,0,5.80986,20.8596,23.7543,0.999525,4,8.67752,0.908259,0.192147,0.00483092,0.00390205,8.22723,0,69,12,0,317,0,0,0,0,0,1.22463,3263,0.0293905,3263,0.020251,3263,1.17474,3263,0,0,0.0005973,3263,0.0519123,397,0.0026373,408,0.0110964,3263,0.0014489,3263,0.0047729,3263,0.0136666,12,0.0017496,16,0.0024342,3216,0.028468,3263,0.0370107,3263,0.0013619,3263,0.0055241,3263,0.57268,3263,0,0,0.476387,3263,0.0875657,3263,2435828,3263
1932,1,5,5.5669,17.801,23.159,0.880526,3,9.54618,0.841184,0.296689,0.004754,0.00427161,8.66954,0,80,14,0,317,0,0,0,0,0,1.31146,3463,0.030351,3463,0.0213916,3463,1.25945,3463,0,0,0.0006329,3463,0.0561361,451,0.0028116,433,0.0117868,3463,0.0015521,3463,0.00514,3463,0.0137729,13,0.0029269,29,0.0025924,3414,0.0311993,3463,0.0391528,3463,0.0014464,3463,0.0056778,3463,0.61709,3463,0,0,0.497011,3463,0.110969,3463,2560932,3463
2032,1,1,4.19683,15.0802,22.3511,0.500687,2,9.54965,0.934372,0.304105,0.00480095,0.0039887,9.16708,0,93,14,0,317,0,0,0,0,0,1.37449,3663,0.0313145,3663,0.0225352,3663,1.32036,3663,0,0,0.0006782,3663,0.0573122,466,0.0029842,458,0.0124703,3663,0.0016495,3663,0.0055122,3663,0.014145,14,0.0036027,35,0.0027515,3612,0.0320109,3663,0.0412849,3663,0.001533,3663,0.005791,3663,0.645163,3663,0,0,0.517431,3663,0.118298,3663,2633221,3663
2132,1,0,2.93778,12.6517,21.3811,1.03943,2,9.323,1.36136,0.31813,0.00463685,0.00479479,9.58824,0,90,16,0,317,0,0,0,0,0,1.45513,3863,0.0322523,3863,0.0237037,3863,1.39888,3863,0,0,0.0007124,3863,0.0610859,494,0.0031317,483,0.0131326,3863,0.0017409,3863,0.0058904,3863,0.0186436,15,0.005137,42,0.0029043,3811,0.0351396,3863,0.0436718,3863,0.001841,3863,0.0060359,3863,0.680217,3863,0,0,0.540427,3863,0.130005,3863,2730641,3863
2232,1,0,2.05645,10.5327,20.2963,1.70519,1,7.85741,0.628797,0.259843,0.00506544,0.00412371,8.81666,0,82,12,0,317,0,0,0,0,0,1.5918,4063,0.0331236,4063,0.0248656,4063,1.5335,4063,0,0,0.0007463,4063,0.0642788,526,0.0034027,508,0.0137321,4063,0.0018351,4063,0.0062484,4063,0.0263076,19,0.0071019,60,0.0030364,4007,0.044712,4063,0.0462315,4063,0.0025456,4063,0.0060635,4063,0.75922,4063,0,0,0.571226,4063,0.177562,4063,2943701,4063
2332,1,0,1.43951,8.71403,19.1381,1.79222,2,8.21997,0.794858,0.278113,0.00518302,0.00415158,8.37742,0,64,12,0,317,0,0,0,0,0,1.74993,4263,0.0340578,4263,0.0261033,4263,1.68944,4263,0,0,0.0007814,4263,0.0678288,561,0.0036744,533,0.0143864,4263,0.0019309,4263,0.006623,4263,0.0311888,23,0.0077341,70,0.003176,4203,0.0531379,4263,0.0486726,4263,0.0043592,4263,0.0060923,4263,0.8629,4263,0,0,0.60568,4263,0.245834,4263,3201567,4263
2432,1,0,1.00766,7.17276,17.9415,1.45349,1,8.24714,1.08401,0.302731,0.00521167,0.00465381,8.10416,0,37,11,0,317,0,0,0,0,0,1.89985,4463,0.0350657,4463,0.0273009,4463,1.83713,4463,0,0,0.0008322,4463,0.0710083,594,0.0040244,558,0.0150482,4463,0.0020296,4463,0.006998,4463,0.0394719,31,0.0078892,72,0.0033407,4388,0.0636897,4463,0.0508839,4463,0.0051261,4463,0.0061354,4463,0.953529,4463,0,0,0.63974,4463,0.301585,4463,3444555,4463
2532,1,0,0.705361,5.87928,16.7353,1.3916,1,7.27604,0.539282,0.264615,0.00501691,0.00410665,8.76134,0,73,12,0,317,0,0,0,0,0,2.05449,4663,0.0359593,4663,0.0285648,4663,1.9896,4663,0,0,0.0008657,4663,0.0735804,620,0.0043594,583,0.0156733,4663,0.0021302,4663,0.0073578,4663,0.0489,39,0.0082212,74,0.0034814,4580,0.0750273,4663,0.0534151,4663,0.0060054,4663,0.0061679,4663,1.04928,4663,0,0,0.675176,4663,0.360888,4663,3704973,4663
2632,1,0,0.493753,4.80217,15.542,1.21871,1,9.8522,0.698506,0.288284,0.00518716,0.00417239,9.37945,0,73,15,0,317,0,0,0,0,0,2.191,4863,0.0369419,4863,0.0297617,4863,2.12391,4863,0,0,0.0008993,4863,0.07713,657,0.0046841,608,0.0163113,4863,0.0022311,4863,0.0077123,4863,0.0545926,45,0.0082212,74,0.0036196,4774,0.0840528,4863,0.0558754,4863,0.0076122,4863,0.0061996,4863,1.13167,4863,0,0,0.709039,4863,0.408569,4863,3943797,4863
2732,1,1,0.645627,3.97087,14.3849,1.42438,2,8.28891,0.931484,0.267381,0.00474559,0.00423272,8.88619,0,70,13,0,317,0,0,0,0,0,2.33065,5063,0.0381167,5063,0.030902,5063,2.26123,5063,0,0,0.0009383,5063,0.0810565,699,0.0049056,633,0.0169399,5063,0.0023263,5063,0.0080506,5063,0.0568472,47,0.0111845,89,0.0037541,4972,0.0925246,5063,0.0586924,5063,0.0084745,5063,0.0062616,5063,1.2185,5063,0,0,0.742973,5063,0.460568,5063,4194285,5063
