time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
802,1,0,0,0,0,0.423828,471,0,0,0,0,0,0,0,1617,0,0,317,0,0,4,0,0,0.205977,968,0.0216383,968,0.0055251,968,0.178735,968,0,0,9.29e-05,968,0.001801,64,0.0006229,121,0.00253,968,0.0003869,968,0.0012924,968,0,0,6.44e-05,3,0.0005993,968,0.009019,968,0.0097589,968,0.000397,968,0.0001022,968,0.0390386,968,0,0,0.0353497,968,0.0027803,968,209489,968
902,1,11,3.3,0.66,0.066,0.352386,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.243195,1168,0.0226707,1168,0.0066876,1168,0.213746,1168,0,0,0.0001109,1168,0.0021775,77,0.0007549,146,0.0031317,1168,0.0004619,1168,0.0015317,1168,0,0,6.44e-05,3,0.0007235,1168,0.0093289,1168,0.0119463,1168,0.0004847,1168,0.0001231,1168,0.0473315,1168,0,0,0.0427868,1168,0.0034348,1168,251344,1168
1002,1,45,15.81,3.69,0.4284,0.367966,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.278614,1368,0.0228128,1368,0.007809,1368,0.247888,1368,0,0,0.00013,1368,0.0024949,90,0.0008818,171,0.003717,1368,0.0005373,1368,0.0017714,1368,0,0,6.44e-05,3,0.0008432,1368,0.0094718,1368,0.0139759,1368,0.0005709,1368,0.0001453,1368,0.0553957,1368,0,0,0.0499718,1368,0.0040963,1368,293144,1368
1102,1,15,15.567,6.0654,0.9921,0.35817,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.315098,1568,0.022956,1568,0.0089722,1568,0.283046,1568,0,0,0.0001511,1568,0.0028664,102,0.0010279,196,0.0043272,1568,0.0006143,1568,0.0020224,1568,0,0,6.44e-05,3,0.0009748,1568,0.0096198,1568,0.0160674,1568,0.000652,1568,0.0001682,1568,0.0636909,1568,0,0,0.0574121,1568,0.004738,1568,334944,1568
1202,0,1741,533.197,111.492,12.0421,0.033989,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.336058,1768,0.0231147,1768,0.0101137,1768,0.302689,1768,0,0,0.0001728,1758,0.0043043,117,0.0011379,221,0.004662,1758,0.0006819,1758,0.0021362,1659,0,0,6.44e-05,3,0.0010909,1758,0.0100446,1758,0.0170999,1758,0.0007742,1758,0.0002932,1758,0.0677177,1758,0,0,0.0609922,1758,0.0050336,1659,354551,1758
1302,0,8,375.638,164.321,27.27,0.041214,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.339391,1968,0.023272,1968,0.0112544,1968,0.304711,1968,0,0,0.0001976,1958,0.004315,129,0.0012322,246,0.0047899,1958,0.0007569,1958,0.0021362,1659,0,0,6.44e-05,3,0.001218,1958,0.0101985,1958,0.0172557,1958,0.0009563,1958,0.0003153,1958,0.0680943,1958,0,0,0.0612384,1958,0.0050336,1659,354551,1958
1402,1,36,273.746,186.206,43.1636,0.417633,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.34609,2168,0.0234575,2168,0.0124726,2168,0.309993,2168,0,0,0.0002286,2157,0.0047635,142,0.0013294,270,0.0049323,2157,0.0008664,2157,0.0021374,1660,0.000108,1,6.44e-05,3,0.0013575,2156,0.012031,2157,0.0174911,2157,0.0011346,2157,0.0010791,2157,0.0685618,2157,0,0,0.0615524,2157,0.0050437,1660,354766,2157
1502,1,33,201.523,189.269,57.7741,0.473,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,2,0,0,0.384696,2368,0.0236443,2368,0.0138179,2368,0.347047,2368,0,0,0.000255,2324,0.0076049,160,0.0014593,292,0.0055782,2324,0.0009548,2324,0.0023863,1827,0.0001497,2,6.44e-05,3,0.0014764,2322,0.0125292,2324,0.0193796,2324,0.0012058,2324,0.0012809,2324,0.0788027,2324,0,0,0.0709636,2324,0.0056349,1827,411425,2324
1602,1,18,146.466,180.709,70.0676,0.431893,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.429748,2568,0.0238262,2568,0.0151344,2568,0.390586,2568,0,0,0.0002885,2524,0.0088237,176,0.001592,317,0.0062605,2524,0.0010539,2524,0.0026822,2027,0.0001497,2,6.44e-05,3,0.0016159,2522,0.0128097,2524,0.0215311,2524,0.0012916,2524,0.0013041,2524,0.0929265,2524,0,0,0.0840709,2524,0.0063204,2027,492425,2524
1702,1,0,102.526,165.072,79.5681,0.460053,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.470263,2768,0.0240042,2768,0.0162205,2768,0.429811,2768,0,0,0.0003119,2724,0.0093472,188,0.0017006,342,0.0068624,2724,0.0011458,2724,0.0029818,2227,0.0001497,2,6.44e-05,3,0.0017365,2722,0.0129519,2724,0.0235141,2724,0.0013785,2724,0.0013287,2724,0.106402,2724,0,0,0.0965674,2724,0.0069567,2227,573425,2724
1802,1,0,71.7682,146.411,86.2524,0.451152,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.513078,2968,0.0241758,2968,0.0173985,2968,0.471261,2968,0,0,0.0003385,2924,0.0100964,202,0.0018165,367,0.0074746,2924,0.0012468,2924,0.0032994,2427,0.0001497,2,6.44e-05,3,0.0018648,2922,0.0131207,2924,0.0255696,2924,0.0014719,2924,0.001353,2924,0.120734,2924,0,0,0.109887,2924,0.0076168,2427,654425,2924
1902,1,0,50.2378,127.177,90.3448,0.449163,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.553469,3168,0.0243423,3168,0.018559,3168,0.510305,3168,0,0,0.0003621,3124,0.0108559,216,0.0019256,392,0.0080513,3124,0.0013387,3124,0.0036013,2627,0.0001497,2,6.44e-05,3,0.0019856,3122,0.013318,3124,0.0275022,3124,0.0015599,3124,0.001389,3124,0.134158,3124,0,0,0.12232,3124,0.008264,2627,734665,3124
2002,1,1,35.4664,108.835,92.1938,0.333176,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.588121,3368,0.0245086,3368,0.0196706,3368,0.543662,3368,0,0,0.0003853,3324,0.011238,230,0.0020402,417,0.0086338,3324,0.0014311,3324,0.0039083,2827,0.0001497,2,6.44e-05,3,0.0021072,3322,0.0134778,3324,0.029433,3324,0.0016491,3324,0.0014132,3324,0.141831,3324,0,0,0.129107,3324,0.0089466,2827,776567,3324
2102,1,0,24.8265,92.033,92.1777,0.357263,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.622456,3568,0.024681,3568,0.0207918,3568,0.576688,3568,0,0,0.0004084,3524,0.0115397,242,0.0021465,442,0.0092282,3524,0.0015226,3524,0.0042138,3027,0.0001497,2,6.44e-05,3,0.0022322,3522,0.0136163,3524,0.0313699,3524,0.0017375,3524,0.0014367,3524,0.149637,3524,0,0,0.136027,3524,0.0096258,3027,818367,3524
2202,1,2,17.9786,77.2221,90.6821,0.391314,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.665802,3768,0.0248467,3768,0.0219758,3768,0.618663,3768,0,0,0.0004346,3724,0.0138739,262,0.0022567,467,0.0098234,3724,0.0016134,3724,0.00452,3227,0.0001497,2,6.44e-05,3,0.0023642,3722,0.0140856,3724,0.0333889,3724,0.0018275,3724,0.0016071,3724,0.162645,3724,0,0,0.147996,3724,0.0103392,3227,892899,3724
2302,1,0,12.585,64.2947,88.0434,0.405452,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.707136,3968,0.0250132,3968,0.0230833,3968,0.658705,3968,0,0,0.0004786,3924,0.0146743,276,0.0023724,492,0.010437,3924,0.0016998,3924,0.0048234,3427,0.0001497,2,6.44e-05,3,0.0024815,3922,0.0142669,3924,0.0353237,3924,0.0019148,3924,0.0016294,3924,0.176232,3924,0,0,0.160598,3924,0.010953,3427,973899,3924
2402,1,0,8.80949,53.1976,84.5588,0.39794,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.748332,4168,0.025178,4168,0.0242926,4168,0.6985,4168,0,0,0.0005032,4124,0.0153901,290,0.0024834,517,0.0110203,4124,0.0017894,4124,0.0051281,3627,0.0001497,2,6.44e-05,3,0.002604,4122,0.0144235,4124,0.0372744,4124,0.0020024,4124,0.0016543,4124,0.190393,4124,0,0,0.1737,4124,0.0116098,3627,1054899,4124
2502,1,0,6.16664,43.7914,80.4821,0.409478,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.789953,4368,0.0253452,4368,0.0254622,4368,0.738768,4368,0,0,0.0005289,4324,0.0162319,303,0.0026012,542,0.011597,4324,0.0018793,4324,0.0054383,3827,0.0001497,2,6.44e-05,3,0.002726,4322,0.0145819,4324,0.0392503,4324,0.0020952,4324,0.0016766,4324,0.204308,4324,0,0,0.186618,4324,0.0122461,3827,1135899,4324
2602,1,0,4.31665,35.8965,76.0235,0.417841,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.831794,4568,0.0255094,4568,0.0266848,4568,0.779206,4568,0,0,0.0005573,4524,0.0170952,318,0.0027197,567,0.0121742,4524,0.0019688,4524,0.0057372,4027,0.0001497,2,6.44e-05,3,0.0028499,4522,0.0147677,4524,0.0412031,4524,0.0021856,4524,0.0016983,4524,0.218197,4524,0,0,0.199495,4524,0.0128831,4027,1216899,4524
2702,1,0,3.02165,29.3215,71.3533,0.406391,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.874001,4768,0.0256794,4768,0.0279747,4768,0.819935,4768,0,0,0.0005806,4724,0.0178671,332,0.0028339,592,0.0127621,4724,0.0020597,4724,0.0060426,4227,0.0001497,2,6.44e-05,3,0.002969,4722,0.0149459,4724,0.0432144,4724,0.0022743,4724,0.0017221,4724,0.232053,4724,0,0,0.212338,4724,0.0135361,4227,1297899,4724
2802,1,0,2.11516,23.8802,66.606,0.424153,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.915518,4968,0.0258471,4968,0.0291603,4968,0.860082,4968,0,0,0.0006032,4924,0.019112,351,0.0029528,617,0.0133472,4924,0.0021569,4924,0.006348,4427,0.0001497,2,6.44e-05,3,0.0030909,4922,0.0152021,4924,0.045164,4924,0.0023628,4924,0.0017454,4924,0.245904,4924,0,0,0.225191,4924,0.0141719,4427,1378899,4924
2902,1,0,1.48061,19.4003,61.8854,0.426686,0,0,0,0,0,0,0,0,2326,0,0,317,0,0,0,0,0,0.957501,5168,0.0260175,5168,0.0302996,5168,0.900739,5168,0,0,0.0006268,5124,0.0201804,369,0.0030602,642,0.0139502,5124,0.0022502,5124,0.0066735,4627,0.0001497,2,6.44e-05,3,0.003213,5122,0.0154687,5124,0.0471406,5124,0.0024575,5124,0.0017688,5124,0.259576,5124,0,0,0.237846,5124,0.0148261,4627,1459899,5124
